tenure,MonthlyCharges,ContractType,PaymentMethod,Churn
52,54.11,0,0,0
15,31.35,0,1,1
72,112.47,0,0,0
61,107.73,1,0,0
21,45.79,1,1,0
24,86.0,1,0,0
3,101.72,0,0,1
22,75.52,0,0,0
53,72.97,1,0,0
2,44.19,1,0,0
30,29.31,1,0,0
38,109.72,0,1,0
2,110.04,0,0,1
64,83.31,1,0,0
60,53.9,0,1,0
21,54.92,1,0,0
33,92.6,1,1,0
58,109.71,0,0,0
22,108.71,1,0,1
49,97.99,1,0,0
59,84.2,0,0,1
42,28.41,1,0,0
60,36.16,0,0,1
15,109.86,1,0,0
62,80.64,0,0,0
62,20.92,1,0,0
47,30.15,0,0,0
62,86.35,0,0,0
51,20.51,1,1,0
55,36.08,0,1,1
64,74.87,0,0,0
3,89.19,1,1,0
51,85.2,1,1,0
7,42.43,0,0,1
21,91.22,0,1,0
39,43.72,0,1,0
18,52.54,0,0,0
4,94.65,0,0,1
60,84.96,0,1,0
14,104.92,1,1,0
9,85.76,1,0,0
53,76.83,1,0,0
2,29.37,0,0,1
60,56.77,0,0,0
71,46.52,0,1,0
44,44.4,0,0,0
8,117.3,0,0,1
47,59.31,1,1,1
35,109.2,0,0,0
36,83.11,0,0,0
50,99.48,0,1,0
4,70.26,1,1,1
2,77.69,0,1,0
6,69.25,0,1,0
54,39.52,0,0,0
4,92.25,1,0,0
54,48.08,0,1,1
63,22.43,1,0,0
18,84.55,1,0,1
44,37.71,0,0,0
34,114.05,0,0,0
62,115.39,1,0,0
14,111.49,0,0,0
48,57.02,0,0,0
15,21.55,1,0,0
72,112.83,1,1,0
62,62.82,1,1,0
40,116.67,1,1,0
53,116.36,0,1,0
24,105.3,0,0,1
26,49.44,1,0,0
60,58.51,0,1,0
41,105.11,0,1,1
29,51.69,1,1,0
15,36.95,0,0,0
45,75.68,0,0,0
65,113.62,0,0,0
71,89.6,0,0,0
9,77.01,0,1,1
1,29.72,0,1,1
8,81.5,0,0,0
63,119.01,0,1,0
11,34.01,1,1,0
8,71.83,0,0,0
35,107.74,1,0,0
35,94.08,0,0,1
33,89.7,0,0,0
5,90.25,1,0,0
41,55.95,0,0,0
28,49.36,1,0,1
7,100.94,0,0,1
72,101.01,1,1,0
12,106.71,0,0,1
34,111.32,1,1,0
33,71.13,0,0,0
48,70.15,1,1,0
23,99.83,0,0,0
62,85.0,0,0,0
37,90.2,1,1,0
44,99.58,0,1,0
35,109.0,0,1,0
65,53.8,0,0,0
47,57.56,0,0,0
3,29.4,0,1,1
1,77.83,0,1,1
5,23.59,1,1,0
14,66.56,0,1,0
27,74.26,0,0,0
9,48.65,1,1,1
15,79.08,1,0,0
42,23.05,0,0,0
51,23.73,0,0,0
63,102.26,0,1,0
52,56.02,0,0,0
4,32.71,0,0,1
23,72.22,0,1,0
15,97.0,0,0,1
43,41.58,0,1,0
29,82.29,1,0,0
36,28.53,1,0,0
13,25.17,0,1,1
32,73.14,0,0,0
71,74.06,0,0,0
59,83.74,1,0,0
28,92.61,0,0,0
66,117.59,0,1,0
42,71.63,1,0,0
45,52.3,1,1,0
62,99.52,1,0,0
57,47.08,1,1,0
6,63.9,0,1,1
28,27.85,0,1,1
28,22.54,1,0,0
44,116.26,1,0,0
30,103.6,0,0,1
62,89.6,0,1,0
62,60.9,0,1,0
1,37.33,1,1,0
27,35.64,1,0,0
62,45.02,0,1,1
3,74.92,0,1,0
70,91.46,0,0,0
72,86.02,1,0,0
27,47.99,1,1,0
9,115.49,1,1,0
62,93.79,0,1,0
37,75.44,0,0,0
51,81.17,0,1,0
44,61.96,0,0,1
24,44.77,1,0,0
59,55.6,1,0,0
32,95.78,1,1,1
52,21.44,1,1,0
62,31.61,0,1,0
58,24.6,1,0,0
52,24.07,1,1,0
12,105.55,1,0,0
39,90.37,0,1,0
2,67.42,0,0,1
3,29.78,0,0,1
56,69.16,1,0,0
59,67.35,0,0,0
2,37.32,0,1,1
2,63.39,0,1,0
54,59.85,0,0,1
1,81.59,0,1,0
19,83.51,0,0,1
2,24.53,0,1,0
53,57.46,0,1,0
44,82.59,1,1,0
32,70.31,0,0,0
70,105.65,1,1,0
32,85.87,0,1,0
68,36.29,0,0,0
55,27.06,1,0,0
56,84.24,0,1,0
17,22.65,0,1,0
38,78.58,0,1,1
24,114.02,1,1,0
69,77.55,0,1,0
70,58.82,1,0,0
11,84.33,0,0,0
16,65.83,0,0,1
59,74.56,0,1,0
70,114.15,0,0,0
3,58.61,0,1,0
20,116.12,0,1,1
59,110.54,0,1,0
36,39.58,1,0,1
19,26.94,0,1,0
67,30.08,0,0,0
19,21.82,1,1,1
20,29.44,0,0,0
71,88.3,0,0,0
52,27.12,1,1,0
33,51.9,1,0,0
40,104.49,0,0,1
39,22.33,1,1,0
1,101.45,0,1,0
11,48.19,0,1,0
